directory	cop
lint_boolean_symbol	Lint/BooleanSymbol
lint_empty_expression	Lint/EmptyExpression
lint_float_comparison	Lint/FloatComparison
lint_empty_block	Lint/EmptyBlock
security_compound_hash	Security/CompoundHash
security_eval	Security/Eval
security_json_load	Security/JSONLoad
security_marshal_load	Security/MarshalLoad
security_open	Security/Open
security_io_methods	Security/IoMethods
style_character_literal	Style/CharacterLiteral
style_def_with_parentheses	Style/DefWithParentheses
style_nil_comparison	Style/NilComparison
style_not	Style/Not
style_redundant_array_constructor	Style/RedundantArrayConstructor
style_redundant_freeze	Style/RedundantFreeze
style_semicolon	Style/Semicolon
style_string_chars	Style/StringChars
style_unless_else	Style/UnlessElse
